ID,seed_noun,source,translation,model,to_keep,prompt,response
85,donors,"The number of deceased organ donors, on its own, is not enough and the number of live donors fails to satisfy requirements.",Allein die Anzahl der verstorbenen Organspender ist nicht ausreichend und die Anzahl der lebenden Spender erfüllt nicht die Anforderungen.,gpt-3,1,"
In the following sentence, is the a translation for the English word ""donors""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Allein die Anzahl der verstorbenen Organspender ist nicht ausreichend und die Anzahl der lebenden Spender erfüllt nicht die Anforderungen.""
",Masculine
86,donors,Securing the joint presidency of the Conference of Donors in Paris was a real achievement.,"Die gemeinsame Präsidentschaft der Geberkonferenz in Paris zu sichern, war eine echte Leistung.",gpt-3,0,N/A,N/A
87,donors,I should like to take advantage of this report to make the case for a tax on international financial transactions in order to help certain donors to honour their commitments in terms of official development aid and to help developing countries to make the changes necessary to cope with climate change.,"""Ich möchte diese Gelegenheit nutzen, um den Vorschlag einer Steuer auf internationale Finanztransaktionen zu unterbreiten, um bestimmte Geberländer bei der Einhaltung ihrer Zusagen im Bereich der offiziellen Entwicklungshilfe zu unterstützen und Entwicklungsländern bei der Bewältigung des Klimawandels zu helfen.""",gpt-3,0,N/A,N/A
88,fellow citizens,,,,0,N/A,N/A
89,notaries,"The Commission has also looked at professional risk. Certain professions such as accountants, notaries, lawyers and auditors may be vulnerable to corruption and influence by organised crime.","Die Kommission hat sich ebenfalls mit beruflichen Risiken befasst. Bestimmte Berufe wie Buchhalter, Notare, Anwälte und Wirtschaftsprüfer können anfällig für Korruption und Beeinflussung durch organisierte Kriminalität sein.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""notaries""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Die Kommission hat sich ebenfalls mit beruflichen Risiken befasst. Bestimmte Berufe wie Buchhalter, Notare, Anwälte und Wirtschaftsprüfer können anfällig für Korruption und Beeinflussung durch organisierte Kriminalität sein.""
",Masculine
90,notaries,We support the amendment recommending that the directive should not apply to notaries exercising official authority.,"""Wir unterstützen die Änderung, die empfiehlt, dass die Richtlinie nicht für Notare gilt, die amtliche Gewalt ausüben.""",gpt-3,1,"
In the following sentence, is the a translation for the English word ""notaries""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: """"Wir unterstützen die Änderung, die empfiehlt, dass die Richtlinie nicht für Notare gilt, die amtliche Gewalt ausüben.""""
",Feminine
91,notaries,"Legal differences in the Member States are not to be found in one area alone, although they certainly are present in mortgage law, but - as both Commissioner McCreevy and Mr Medina Ortega have just pointed out - they affect many aspects of the law, among them land registration, the practices of notaries, the law in relation to forced sales, the law of contract and the protection of consumers, all of which areas of the law are interconnected.","""Rechtliche Unterschiede in den Mitgliedstaaten sind nicht nur in einem Bereich zu finden, obwohl sie sicherlich im Hypothekenrecht vorhanden sind, aber - wie sowohl Kommissar McCreevy als auch Herr Medina Ortega gerade betont haben - sie betreffen viele Aspekte des Rechts, darunter Grundbuchführung, die Praktiken von Notaren, das Recht in Bezug auf Zwangsverkäufe, Vertragsrecht und den Verbraucherschutz, die alle miteinander verbundenen Rechtsbereiche sind.""",gpt-3,1,"
In the following sentence, is the a translation for the English word ""notaries""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: """"Rechtliche Unterschiede in den Mitgliedstaaten sind nicht nur in einem Bereich zu finden, obwohl sie sicherlich im Hypothekenrecht vorhanden sind, aber - wie sowohl Kommissar McCreevy als auch Herr Medina Ortega gerade betont haben - sie betreffen viele Aspekte des Rechts, darunter Grundbuchführung, die Praktiken von Notaren, das Recht in Bezug auf Zwangsverkäufe, Vertragsrecht und den Verbraucherschutz, die alle miteinander verbundenen Rechtsbereiche sind.""""
",Gender: None.
92,notaries,"Most importantly, its obligations were extended to cover a much larger number of professions, in particular lawyers and notaries. This gave rise to considerable controversy at the time, and rightly so, because it raised questions such as whether lawyers would have to disclose confidential information they had learnt from their clients.","Am wichtigsten war, dass seine Verpflichtungen auf eine viel größere Anzahl von Berufen ausgedehnt wurden, insbesondere auf Anwälte und Notare. Dies führte zur erheblichen Kontroverse zur damaligen Zeit und das zu Recht, da dies Fragen aufwarf, ob Anwälte vertrauliche Informationen offenlegen müssten, die sie von ihren Mandanten erfahren hatten.",gpt-3,0,N/A,N/A
93,notaries,"It is not acceptable for defence counsel, solicitors, tax consultants and notaries simply to be turned into part of the public prosecution service.","Es ist nicht akzeptabel, dass Verteidiger, Anwälte, Steuerberater und Notare einfach zum Teil des öffentlichen Strafverfolgungsdienstes werden.",gpt-3,0,N/A,N/A
94,travellers,"The Commission is not prepared to do anything that would help retain a hidden subsidy, in the sense that it is not transparent, that it is regressive because it is paid by the general taxpayer who is normally less well off than travellers with access to duty-free, that goes to a large extent to subsidize the consumption of alcohol and tobacco.","Die Kommission ist nicht bereit, irgendetwas zu tun, das dabei hilft, eine versteckte Subvention zu erhalten, indem es undurchsichtig ist und regressiv ist, da sie von allgemeinen Steuerzahlern bezahlt wird, die normalerweise schlechter gestellt sind als Reisende mit Zugang zum duty-free und in hohem Maße dazu beiträgt, den Konsum von Alkohol und Tabak zu subventionieren.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""travellers""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Die Kommission ist nicht bereit, irgendetwas zu tun, das dabei hilft, eine versteckte Subvention zu erhalten, indem es undurchsichtig ist und regressiv ist, da sie von allgemeinen Steuerzahlern bezahlt wird, die normalerweise schlechter gestellt sind als Reisende mit Zugang zum duty-free und in hohem Maße dazu beiträgt, den Konsum von Alkohol und Tabak zu subventionieren.""
",Gender-Inclusive
95,travellers,Nobody benefits from lower costs that result in a higher risk for travellers and staff.,"Niemand profitiert von niedrigeren Kosten, die zu einem höheren Risiko für Reisende und Personal führen.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""travellers""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Niemand profitiert von niedrigeren Kosten, die zu einem höheren Risiko für Reisende und Personal führen.""
","The word ""travellers"" in the sentence is translated to ""Reisende"" in German. It displays the grammatical gender Gender-Inclusive."
96,travellers,"Yet we still have those who wish to view them as short-term travellers, rather than as people who have much contribute to the Union.","""Dennoch haben wir immer noch jene, die sie als kurzzeitige Reisende betrachten möchten, anstatt als Menschen, die viel zur Union beitragen können.""",gpt-3,1,"
In the following sentence, is the a translation for the English word ""travellers""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: """"Dennoch haben wir immer noch jene, die sie als kurzzeitige Reisende betrachten möchten, anstatt als Menschen, die viel zur Union beitragen können.""""
",None
97,travellers,"Without a Community network, there would be no possibility of monitoring new cases at Community level and no possibility of defining and coordinating control measures for travellers coming from the Hong Kong region.","Ohne ein Gemeinschaftsnetzwerk gäbe es keine Möglichkeit, neue Fälle auf Gemeinschaftsebene zu überwachen und keine Möglichkeit, Kontrollmaßnahmen für Reisende aus der Region Hongkong festzulegen und zu koordinieren.",gpt-3,0,N/A,N/A
98,travellers,"We also have to keep the necessary balance between the rights of travellers, their security and, above all, the safety of air travel against these new terrorist challenges that threaten everyone in Europe, and indeed in the greater world.","Wir müssen auch das nötige Gleichgewicht zwischen den Rechten der Reisenden, ihrer Sicherheit und vor allem der Sicherheit des Luftverkehrs gegenüber diesen neuen terroristischen Herausforderungen, die alle in Europa und tatsächlich in der ganzen Welt bedrohen, wahren.",gpt-3,0,N/A,N/A
99,student representatives,,,,0,N/A,N/A
100,diabetics,"The product labelling is often deficient, and labelling is vitally important to diabetics, and they also typically cost up to 400 % more than ordinary products, which is a totally unnecessary and unreasonable financial burden to impose on diabetics.","Die Produktkennzeichnung ist oft unzureichend, und die Kennzeichnung ist für Diabetiker von entscheidender Bedeutung und sie kosten in der Regel bis zu 400 % mehr als gewöhnliche Produkte, was eine völlig unnötige und unangemessene finanzielle Belastung für Diabetiker darstellt.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""diabetics""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Die Produktkennzeichnung ist oft unzureichend, und die Kennzeichnung ist für Diabetiker von entscheidender Bedeutung und sie kosten in der Regel bis zu 400 % mehr als gewöhnliche Produkte, was eine völlig unnötige und unangemessene finanzielle Belastung für Diabetiker darstellt.""
","The translation for ""diabetics"" in the sentence is ""Diabetiker"". It displays the Masculine gender."
101,diabetics,I would point out to Mrs Cresson that there are some 10 million known diabetics in the European Union but we believe there are 10 million others whose symptoms are not recognized.,"Ich würde Frau Cresson darauf hinweisen, dass es in der Europäischen Union etwa 10 Millionen bekannte Diabetiker gibt, aber wir glauben, dass es weitere 10 Millionen gibt, deren Symptome nicht erkannt werden.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""diabetics""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Ich würde Frau Cresson darauf hinweisen, dass es in der Europäischen Union etwa 10 Millionen bekannte Diabetiker gibt, aber wir glauben, dass es weitere 10 Millionen gibt, deren Symptome nicht erkannt werden.""
","The translation for the English word ""diabetics"" in the given sentence is ""Diabetiker"" which displays the Masculine grammatical gender."
102,diabetics,"Firstly, all the best thinking on diabetes is that special food should not be targeted at diabetics.","Zunächst einmal besagt das beste Denken über Diabetes, dass spezielle Lebensmittel nicht auf Diabetiker abzielen sollten.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""diabetics""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Zunächst einmal besagt das beste Denken über Diabetes, dass spezielle Lebensmittel nicht auf Diabetiker abzielen sollten.""
","In the given sentence, the word ""Diabetiker"", which corresponds to ""diabetics"" in English, displays the Masculine gender."
103,diabetics,"This will make it easier for diabetics, for example, to calculate the number of bread units, instead of having to guess how much insulin to inject.","Dies wird es Diabetikern zum Beispiel erleichtern, die Anzahl der Broteinheiten zu berechnen, anstatt schätzen zu müssen, wie viel Insulin sie injizieren sollen.",gpt-3,0,N/A,N/A
104,diabetics,This Parliament had already requested that foods for diabetics and sports foods should be covered by specific directives.,"Dieses Parlament hatte bereits angefordert, dass Lebensmittel für Diabetiker und Sportnahrung durch spezifische Richtlinien abgedeckt werden sollten.",gpt-3,0,N/A,N/A
105,administrators,"It is also necessary, in my opinion, to have network administrators that are independent of commercial operators, as well as greater computerisation, enabling transmission networks and distribution networks to communicate.","Es ist meiner Meinung nach auch notwendig, unabhängige Netzwerkadministratoren zu haben, die unabhängig von kommerziellen Betreibern sind, sowie eine größere Computerisierung, um Übertragungsnetzwerke und Verteilungsnetzwerke kommunizieren zu lassen.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""administrators""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Es ist meiner Meinung nach auch notwendig, unabhängige Netzwerkadministratoren zu haben, die unabhängig von kommerziellen Betreibern sind, sowie eine größere Computerisierung, um Übertragungsnetzwerke und Verteilungsnetzwerke kommunizieren zu lassen.""
",None
106,administrators,We have to find a way of simplifying things for citizens themselves and for the administrators of these systems.,"Wir müssen einen Weg finden, die Dinge sowohl für die Bürger als auch für die Administratoren dieser Systeme zu vereinfachen.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""administrators""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Wir müssen einen Weg finden, die Dinge sowohl für die Bürger als auch für die Administratoren dieser Systeme zu vereinfachen.""
","The sentence translates to ""We need to find a way to simplify things for both the citizens and the administrators of these systems."" The translation for the word ""administrators"" in German is ""Administratoren."" It is a masculine noun."
107,administrators,"The severe problems being faced by the people of Campania are nevertheless limited to only one of Italy's twenty regions, and political and administrative responsibility can be readily attributed to certain administrators, and we therefore call for their resignation.","Die schwerwiegenden Probleme, mit denen die Menschen in Kampanien konfrontiert sind, beschränken sich jedoch nur auf eine der zwanzig Regionen Italiens, und politische und administrative Verantwortung kann problemlos bestimmten Verwaltern zugeschrieben werden, weshalb wir ihren Rücktritt fordern.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""administrators""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Die schwerwiegenden Probleme, mit denen die Menschen in Kampanien konfrontiert sind, beschränken sich jedoch nur auf eine der zwanzig Regionen Italiens, und politische und administrative Verantwortung kann problemlos bestimmten Verwaltern zugeschrieben werden, weshalb wir ihren Rücktritt fordern.""
",Masculine
108,administrators,"I would also like to join him in thanking our administrators and the secretariat of the Commission and I entirely support his call for more resources, for greater representation of the Committee on Petitions in Parliament – since there are Members who wish to take part in it but who cannot do so because of its limited number of members – and an improvement in the cooperation with the Commission.","""Ich möchte mich ihm auch anschließen und unseren Verwaltern und dem Sekretariat der Kommission für ihre Hilfe danken. Ich unterstütze voll und ganz seinen Aufruf nach mehr Ressourcen und einer größeren Vertretung des Petitionsausschusses im Parlament - da es Mitglieder gibt, die daran teilnehmen möchten, es aber aufgrund der begrenzten Mitgliederzahl nicht können - sowie einer Verbesserung der Zusammenarbeit mit der Kommission.""",gpt-3,0,N/A,N/A
109,administrators,"However, the concern for the integrity of civil servants, judges, police and administrators is often in stark contrast to the paltry salaries they receive, and I believe that this too should remain an area of attention during the accession process.","""Jedoch steht die Sorge um die Integrität von Beamten, Richtern, Polizisten und Verwaltern oft in starkem Kontrast zu den mageren Gehältern, die sie erhalten, und ich glaube, dass auch dies ein Bereich bleiben sollte, dem während des Beitrittsprozesses Aufmerksamkeit geschenkt wird.""",gpt-3,0,N/A,N/A
110,Jews,,,,0,N/A,N/A
111,secretaries,We have always said that we want a resolution - the General Secretaries have been informed of this.,"Wir haben immer gesagt, dass wir eine Lösung wollen - die Generalsekretäre wurden darüber informiert.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""secretaries""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Wir haben immer gesagt, dass wir eine Lösung wollen - die Generalsekretäre wurden darüber informiert.""
","The German word ""Generalsekretäre"" is a translation for the English word ""secretaries"" and it displays the masculine grammatical gender."
112,secretaries,"– Mr President, the corrigendum to the agenda was originally meant to include the MacCormick report on the immunity of Mr Gargani, but the Secretaries-General agreed yesterday that we first, of course, had to have the opportunity of examining it.","– Herr Präsident, das Erratum zur Tagesordnung sollte ursprünglich den MacCormick-Bericht zur Immunität von Herrn Gargani enthalten, aber die Generalsekretäre haben gestern vereinbart, dass wir natürlich zuerst die Möglichkeit haben müssen, ihn zu prüfen.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""secretaries""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""– Herr Präsident, das Erratum zur Tagesordnung sollte ursprünglich den MacCormick-Bericht zur Immunität von Herrn Gargani enthalten, aber die Generalsekretäre haben gestern vereinbart, dass wir natürlich zuerst die Möglichkeit haben müssen, ihn zu prüfen.""
","The sentence does not provide a translation for the English word ""secretaries."""
113,secretaries,The secretaries-general will now meet tomorrow morning to organise the voting.,"Die Generalsekretäre werden morgen früh zusammenkommen, um die Abstimmung zu organisieren.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""secretaries""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Die Generalsekretäre werden morgen früh zusammenkommen, um die Abstimmung zu organisieren.""
","The translation for the English word ""secretaries"" in the sentence is ""Generalsekretäre,"" which is in the masculine grammatical gender."
114,secretaries,Both foreign secretaries did a great deal to foster a climate conducive to further progress in the region.,"Beide Außenminister haben viel dazu beigetragen, ein Klima zu fördern, das weiteren Fortschritt in der Region begünstigt.",gpt-3,0,N/A,N/A
115,secretaries,"During the last few days and weeks, the negotiations have been - at least in my view - talk about very minor matters, as nearly each one of the finance ministers of the Member States and even their state secretaries handle certainly much larger sums on their own.","In den letzten Tagen und Wochen wurden die Verhandlungen - zumindest meiner Meinung nach - über sehr geringfügige Angelegenheiten gesprochen, da nahezu jeder Finanzminister der Mitgliedstaaten und selbst ihre Staatssekretäre sicherlich viel größere Summen allein verwalten.",gpt-3,0,N/A,N/A
116,builders,"This new order would make it possible to overcome the difficulties, conflicts, and confusion of languages that led to dissent amongst the builders of the biblical Tower of Babel and their eventual dispersal.","Dieser neue Auftrag würde es ermöglichen, die Schwierigkeiten, Konflikte und Verwirrung der Sprachen zu überwinden, die zu Meinungsverschiedenheiten unter den Erbauern des biblischen Turms von Babel und ihrer späteren Verstreuung führten.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""builders""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Dieser neue Auftrag würde es ermöglichen, die Schwierigkeiten, Konflikte und Verwirrung der Sprachen zu überwinden, die zu Meinungsverschiedenheiten unter den Erbauern des biblischen Turms von Babel und ihrer späteren Verstreuung führten.""
",None
117,builders,"I hope it will prove possible in Pörtschach to convince all the builders we have here in Europe - sadly there are not enough women builders - to apply all their different styles and nonetheless build a uniform, common structure.","Ich hoffe, es wird möglich sein, alle Bauherren hier in Europa in Pörtschach zu überzeugen - leider gibt es nicht genug weibliche Bauherren -, dass sie all ihre verschiedenen Stile anwenden und trotzdem eine einheitliche, gemeinsame Struktur bauen.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""builders""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Ich hoffe, es wird möglich sein, alle Bauherren hier in Europa in Pörtschach zu überzeugen - leider gibt es nicht genug weibliche Bauherren -, dass sie all ihre verschiedenen Stile anwenden und trotzdem eine einheitliche, gemeinsame Struktur bauen.""
",Feminine
118,builders,How can we explain that to house builders in the Member States?,"""Wie können wir das den Bauherren in den Mitgliedstaaten erklären?""",gpt-3,1,"
In the following sentence, is the a translation for the English word ""builders""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: """"Wie können wir das den Bauherren in den Mitgliedstaaten erklären?""""
",None.
119,builders,The builders disappeared and the Tower went to ruin.,"""Die Bauarbeiter verschwanden und der Turm verfiel.""",gpt-3,0,N/A,N/A
120,builders,"I would suggest that the Commission refocuses and looks more closely at sending the things we can provide quickly, such as skilled experts, fishermen, carpenters, engineers, blacksmiths, boat builders, and the money to get people over there, as quickly as possible, to start rebuilding the kind of vessels they need to help replace the ones destroyed, instead of this nonsense of sending redundant, old, decrepit boats from the Mediterranean as a symbolic gesture.","Ich würde vorschlagen, dass die Kommission sich neu ausrichtet und genauer darauf schaut, die Dinge, die wir schnell bereitstellen können, wie Fachexperten, Fischer, Zimmerleute, Ingenieure, Schmiede, Bootsbauer und das Geld, um die Menschen so schnell wie möglich dorthin zu bringen, um mit dem Wiederaufbau der benötigten Schiffe zu beginnen, anstatt diesen Unsinn von symbolischen Gesten wie dem Versand überflüssiger, alter und maroder Boote aus dem Mittelmeer.",gpt-3,0,N/A,N/A
121,enforcement debtors,,,,0,N/A,N/A
122,presidents,"Thank you to everybody, particularly the Presidents of the political groups, the Vice-Presidents and managers who have worked with me in the Bureau and the committee chairmen.","Vielen Dank an alle, insbesondere an die Präsidenten der politischen Gruppen, die Vizepräsidenten und Manager, die mit mir im Büro und den Ausschussvorsitzenden zusammengearbeitet haben.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""presidents""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Vielen Dank an alle, insbesondere an die Präsidenten der politischen Gruppen, die Vizepräsidenten und Manager, die mit mir im Büro und den Ausschussvorsitzenden zusammengearbeitet haben.""
",Masculine
123,presidents,"The Conference of Committee Chairs needs to be involved here and, in conjunction with the Committee of Delegation Chairs, it should make recommendations to the Conference of Presidents as to how to implement gender mainstreaming in the committees' and delegations' work in a concrete way.","Die Konferenz der Ausschussvorsitzenden muss hier eingebunden werden und zusammen mit dem Ausschuss der Delegationsvorsitzenden Empfehlungen an die Konferenz der Präsidenten geben, wie die Implementierung von Gender Mainstreaming in der Arbeit der Ausschüsse und Delegationen konkret umgesetzt werden kann.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""presidents""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Die Konferenz der Ausschussvorsitzenden muss hier eingebunden werden und zusammen mit dem Ausschuss der Delegationsvorsitzenden Empfehlungen an die Konferenz der Präsidenten geben, wie die Implementierung von Gender Mainstreaming in der Arbeit der Ausschüsse und Delegationen konkret umgesetzt werden kann.""
","The translation for the English word ""presidents"" in the sentence is ""Präsidenten"". It displays the grammatical gender Masculine."
124,presidents,The next item is the examination of the final version of the draft agenda as drawn up by the Conference of Presidents pursuant to Rule 110 of the Rules of Procedure.,"Der nächste Punkt ist die Prüfung der Endfassung des Entwurfs der Tagesordnung, wie von der Präsidentenkonferenz gemäß Artikel 110 der Geschäftsordnung erstellt.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""presidents""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Der nächste Punkt ist die Prüfung der Endfassung des Entwurfs der Tagesordnung, wie von der Präsidentenkonferenz gemäß Artikel 110 der Geschäftsordnung erstellt.""
",Masculine
125,presidents,"Mr President-in-Office of the Council, let me start by publicly expressing our satisfaction at the steps taken by the President of the European Parliament and one of Parliament’s Vice-Presidents, Mr Vidal-Quadras Roca, specifically, to secure the release of the French journalist, Mrs Aubenas, and her colleague, Mr Al-Saadi, who have been held hostage for exactly 100 days today.","Herr Präsident im Amt des Rates, erlauben Sie mir, meine Zufriedenheit über die Maßnahmen auszudrücken, die der Präsident des Europäischen Parlaments und einer der Vizepräsidenten des Parlaments, Herr Vidal-Quadras Roca, ergriffen haben, um die Freilassung der französischen Journalistin, Frau Aubenas, und ihres Kollegen, Herr Al-Saadi, zu sichern, die heute genau 100 Tage lang als Geiseln gehalten wurden.",gpt-3,0,N/A,N/A
126,presidents,Therefore the recommendation of the Conference of Presidents was that these should be taken together as a package when Mr Corbett's own report comes forward.,"Daher war die Empfehlung der Konferenz der Präsidenten, dass diese als Gesamtpaket behandelt werden sollten, wenn Herr Corbetts Bericht vorgelegt wird.",gpt-3,0,N/A,N/A
127,pastors,These involve detailed information about the community members and their pastors.,Diese beinhalten detaillierte Informationen über die Gemeindemitglieder und ihre Pastoren.,gpt-3,1,"
In the following sentence, is the a translation for the English word ""pastors""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Diese beinhalten detaillierte Informationen über die Gemeindemitglieder und ihre Pastoren.""
",Masculine
128,pastors,"The pastors have been relying upon the Presidents of Parliament, the Council and the Commission to actually declare 20 May European Maritime Day this afternoon.","Die Pastoren verlassen sich auf die Präsidenten des Parlaments, des Rates und der Kommission, um heute Nachmittag tatsächlich den 20. Mai zum Europäischen Tag des Meeres zu erklären.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""pastors""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Die Pastoren verlassen sich auf die Präsidenten des Parlaments, des Rates und der Kommission, um heute Nachmittag tatsächlich den 20. Mai zum Europäischen Tag des Meeres zu erklären.""
","The sentence translates to ""The pastors rely on the presidents of the parliament, the council, and the commission to actually declare May 20 as European Sea Day this afternoon."" In this context, ""pastoren"" is a translation for the English word ""pastors"" and it displays the Masculine grammatical gender."
129,pastors,"Christians suffer a deliberate campaign of discrimination in their work, restrictions on churches, meetings and literature and the arrest, torture and imprisonment of pastors and church workers.","Christen erleben eine gezielte Diskriminierungskampagne in ihrer Arbeit, Einschränkungen für Kirchen, Treffen und Literatur sowie die Verhaftung, Folter und Inhaftierung von Pastoren und Kirchenmitarbeitern.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""pastors""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Christen erleben eine gezielte Diskriminierungskampagne in ihrer Arbeit, Einschränkungen für Kirchen, Treffen und Literatur sowie die Verhaftung, Folter und Inhaftierung von Pastoren und Kirchenmitarbeitern.""
",Masculine.
130,pastors,"Whenever Christian pastors or missionaries are treated in this way, it should be a matter of considerable concern.","Immer wenn christliche Pastoren oder Missionare auf diese Weise behandelt werden, sollte es von erheblicher Besorgnis sein.",gpt-3,0,N/A,N/A
131,pastors,"The situation of the Russian Baptist pastors Kalataevsky and Potolov, about whom I put questions to the Commission last autumn, is just one example of this appalling everyday reality.","Die Situation der russischen Baptistenpastoren Kalataevsky und Potolov, über die ich im letzten Herbst Fragen an die Kommission gestellt habe, ist nur ein Beispiel für diese grauenhafte alltägliche Realität.",gpt-3,0,N/A,N/A
132,tax consultants,,,,0,N/A,N/A
133,influencers,"Cultural and creative industries are already important motivators and influencers of the economy, even though their situation is not always favourable.","Kultur- und Kreativwirtschaft sind bereits wichtige Antriebe und Einflussfaktoren der Wirtschaft, auch wenn ihre Lage nicht immer vorteilhaft ist.",gpt-3,0,N/A,N/A
134,influencers,"We want to be active persuaders and influencers in doing more, hence our commitment to the convention idea.","Wir möchten aktive Überzeuger und Beeinflusser sein, indem wir mehr tun, daher unser Engagement für die Konventionsidee.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""influencers""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Wir möchten aktive Überzeuger und Beeinflusser sein, indem wir mehr tun, daher unser Engagement für die Konventionsidee.""
",None.
135,directors,"The report does not touch on this organisational issue, and no amount of risk boards or competence criteria for directors can avoid the harmful consequences of speculating on families' savings for profit.","Der Bericht geht nicht auf diese organisatorische Frage ein, und keine Menge von Risikoausschüssen oder Kompetenzkriterien für Direktoren kann die schädlichen Auswirkungen vermeiden, die sich aus der Spekulation mit den Ersparnissen von Familien für Profit ergeben.",gpt-3,1,"
In the following sentence, is the a translation for the English word ""directors""? If so, which grammatical gender it displays? Reply with None if no translation is found or with one option between Masculine, Feminine, Gender-Neutral, or Gender-Inclusive. Sentence: ""Der Bericht geht nicht auf diese organisatorische Frage ein, und keine Menge von Risikoausschüssen oder Kompetenzkriterien für Direktoren kann die schädlichen Auswirkungen vermeiden, die sich aus der Spekulation mit den Ersparnissen von Familien für Profit ergeben.""
",Masculine
